sms_id,sender_person_id,receiver_person_id,case_id,message_datetime
SMS174998,PER118146,PER362013,CAS282113,2018-11-16T03:05:27
SMS458313,PER362013,PER794401,CAS693817,2024-10-09T10:44:27
SMS370382,PER794401,PER389506,CAS318289,2021-04-27T07:54:27
SMS264727,PER389506,PER166025,CAS363848,2023-04-08T15:59:27
SMS964040,PER166025,PER197847,CAS850461,2023-05-14T12:53:27
SMS832078,PER197847,PER469951,CAS825026,2021-07-03T21:14:27
SMS269881,PER469951,PER546745,CAS604345,2023-11-26T00:41:27
SMS688318,PER546745,PER900380,CAS662012,2025-07-15T08:18:27
SMS456279,PER900380,PER850660,CAS463268,2024-11-02T00:58:27
SMS637400,PER850660,PER106964,CAS517649,2024-06-27T15:09:27
SMS450498,PER106964,PER880101,CAS633641,2021-01-30T03:17:27
SMS402331,PER880101,PER934901,CAS138571,2024-07-11T23:15:27
SMS254061,PER934901,PER541081,CAS912482,2022-04-11T22:19:27
SMS354334,PER541081,PER377342,CAS220145,2016-12-25T04:34:27
SMS362884,PER377342,PER158533,CAS758668,2020-08-09T23:39:27
SMS275079,PER158533,PER446817,CAS884500,2017-07-11T19:41:27
SMS935401,PER446817,PER638027,CAS308645,2023-04-17T00:13:27
SMS654732,PER638027,PER721156,CAS313304,2021-01-06T13:07:27
SMS625878,PER721156,PER825260,CAS156188,2021-03-24T03:05:27
SMS852633,PER825260,PER494566,CAS546569,2026-03-17T03:48:27
SMS223179,PER494566,PER998416,CAS829043,2020-09-08T08:14:27
SMS376730,PER998416,PER261124,CAS382619,2021-04-04T05:43:27
SMS285328,PER261124,PER768066,CAS369226,2017-11-23T15:12:27
SMS962480,PER768066,PER624021,CAS420783,2019-05-26T13:29:27
SMS410636,PER624021,PER461455,CAS768365,2019-08-30T16:34:27
SMS306713,PER461455,PER450295,CAS508955,2021-09-14T01:09:27
SMS721179,PER450295,PER731351,CAS237615,2021-11-24T23:31:27
SMS630917,PER731351,PER210990,CAS388823,2023-08-26T06:41:27
SMS646485,PER210990,PER773308,CAS348183,2017-05-30T22:33:27
SMS580216,PER773308,PER137859,CAS809607,2018-03-01T10:54:27
SMS978251,PER137859,PER139134,CAS282113,2018-08-31T23:37:27
SMS350363,PER139134,PER192164,CAS693817,2024-09-25T21:01:27
SMS458833,PER192164,PER377088,CAS318289,2021-07-19T18:55:27
SMS768148,PER377088,PER133140,CAS363848,2023-03-21T05:06:27
SMS894073,PER133140,PER170689,CAS850461,2023-04-10T07:16:27
SMS773985,PER170689,PER949282,CAS825026,2021-05-08T11:10:27
SMS402639,PER949282,PER261756,CAS604345,2023-11-05T19:50:27
SMS256455,PER261756,PER772073,CAS662012,2025-07-29T03:55:27
SMS195595,PER772073,PER699978,CAS463268,2024-09-09T21:08:27
SMS819981,PER699978,PER445593,CAS517649,2024-05-14T15:34:27
SMS172203,PER445593,PER252828,CAS633641,2021-02-13T06:54:27
SMS941554,PER252828,PER163496,CAS138571,2024-08-01T02:22:27
SMS624104,PER163496,PER122770,CAS912482,2022-05-09T22:46:27
SMS750134,PER122770,PER344015,CAS220145,2016-11-03T00:48:27
SMS262889,PER344015,PER131757,CAS758668,2020-09-23T06:09:27
SMS883978,PER131757,PER977233,CAS884500,2017-08-12T01:33:27
SMS144464,PER977233,PER410575,CAS308645,2023-03-24T19:17:27
SMS989425,PER410575,PER338512,CAS313304,2020-12-26T00:24:27
SMS799560,PER338512,PER521130,CAS156188,2021-03-06T13:57:27
SMS633935,PER521130,PER892675,CAS546569,2026-01-14T10:50:27
SMS576605,PER892675,PER642624,CAS829043,2020-07-23T19:58:27
SMS627599,PER642624,PER194949,CAS382619,2021-04-02T16:05:27
SMS272284,PER194949,PER773843,CAS369226,2017-12-16T16:25:27
SMS670775,PER773843,PER131735,CAS420783,2019-03-24T14:06:27
SMS444752,PER131735,PER905672,CAS768365,2019-07-10T00:33:27
SMS138847,PER905672,PER869687,CAS508955,2021-08-08T02:56:27
SMS706729,PER869687,PER412774,CAS237615,2022-01-19T11:45:27
SMS559012,PER412774,PER257512,CAS388823,2023-08-16T11:04:27
SMS355026,PER257512,PER435769,CAS348183,2017-05-15T10:49:27
SMS400765,PER435769,PER698612,CAS809607,2018-01-29T01:06:27
SMS792943,PER698612,PER524268,CAS282113,2018-11-11T16:29:27
SMS337280,PER524268,PER554843,CAS693817,2024-12-07T14:33:27
SMS818504,PER554843,PER116035,CAS318289,2021-07-21T06:32:27
SMS812968,PER116035,PER889799,CAS363848,2023-04-25T16:44:27
SMS880195,PER889799,PER690907,CAS850461,2023-06-07T17:40:27
SMS599822,PER690907,PER506329,CAS825026,2021-04-16T08:59:27
SMS480923,PER506329,PER943792,CAS604345,2023-10-02T02:31:27
SMS564902,PER943792,PER150512,CAS662012,2025-10-25T10:55:27
SMS461374,PER150512,PER484330,CAS463268,2024-10-31T22:30:27
SMS787396,PER484330,PER612655,CAS517649,2024-05-19T09:13:27
