message_id,sender_person_id,receiver_person_id,case_id,message_datetime
MES645942,PER483910,PER960590,CAS348183,2017-03-31T20:54:27
MES347634,PER960590,PER118146,CAS809607,2018-03-08T03:03:27
MES531413,PER118146,PER362013,CAS282113,2018-09-25T23:03:27
MES518740,PER362013,PER794401,CAS693817,2024-12-02T10:27:27
MES355822,PER794401,PER389506,CAS318289,2021-07-14T11:54:27
MES246675,PER389506,PER166025,CAS363848,2023-02-05T23:02:27
MES837052,PER166025,PER197847,CAS850461,2023-03-28T10:16:27
MES874124,PER197847,PER469951,CAS825026,2021-05-20T09:49:27
MES759396,PER469951,PER546745,CAS604345,2023-11-01T09:41:27
MES296881,PER546745,PER900380,CAS662012,2025-07-22T00:54:27
MES971602,PER900380,PER850660,CAS463268,2024-09-23T08:50:27
MES815377,PER850660,PER106964,CAS517649,2024-07-11T16:09:27
MES409357,PER106964,PER880101,CAS633641,2021-03-05T07:52:27
MES859611,PER880101,PER934901,CAS138571,2024-06-16T15:11:27
MES359754,PER934901,PER541081,CAS912482,2022-05-21T05:54:27
MES194339,PER541081,PER377342,CAS220145,2017-01-04T13:14:27
MES407546,PER377342,PER158533,CAS758668,2020-08-23T11:38:27
MES286952,PER158533,PER446817,CAS884500,2017-08-18T01:01:27
MES639828,PER446817,PER638027,CAS308645,2023-01-26T11:25:27
MES814954,PER638027,PER721156,CAS313304,2020-11-30T13:26:27
MES962442,PER721156,PER825260,CAS156188,2021-05-15T10:39:27
MES804618,PER825260,PER494566,CAS546569,2026-03-04T18:19:27
MES746801,PER494566,PER998416,CAS829043,2020-08-23T10:25:27
MES765118,PER998416,PER261124,CAS382619,2021-01-16T02:19:27
MES624363,PER261124,PER768066,CAS369226,2017-12-11T08:32:27
MES588425,PER768066,PER624021,CAS420783,2019-04-01T12:55:27
MES699823,PER624021,PER461455,CAS768365,2019-07-12T23:55:27
MES295613,PER461455,PER450295,CAS508955,2021-10-14T21:15:27
MES674670,PER450295,PER731351,CAS237615,2022-01-22T10:04:27
MES148316,PER731351,PER210990,CAS388823,2023-08-15T12:58:27
MES477284,PER210990,PER773308,CAS348183,2017-07-07T17:53:27
MES596674,PER773308,PER137859,CAS809607,2018-03-04T08:58:27
MES297486,PER137859,PER139134,CAS282113,2018-12-12T05:40:27
MES362360,PER139134,PER192164,CAS693817,2024-09-13T10:45:27
MES436635,PER192164,PER377088,CAS318289,2021-06-14T02:11:27
MES530103,PER377088,PER133140,CAS363848,2023-05-14T23:01:27
MES273896,PER133140,PER170689,CAS850461,2023-04-05T13:43:27
MES631255,PER170689,PER949282,CAS825026,2021-06-19T00:23:27
MES915058,PER949282,PER261756,CAS604345,2023-10-24T20:02:27
MES560302,PER261756,PER772073,CAS662012,2025-09-14T08:30:27
MES364584,PER772073,PER699978,CAS463268,2024-09-26T02:03:27
MES125861,PER699978,PER445593,CAS517649,2024-07-08T19:14:27
MES543076,PER445593,PER252828,CAS633641,2021-03-30T09:09:27
MES931912,PER252828,PER163496,CAS138571,2024-07-15T10:58:27
MES954643,PER163496,PER122770,CAS912482,2022-04-05T16:29:27
MES878210,PER122770,PER344015,CAS220145,2017-01-10T01:09:27
MES312840,PER344015,PER131757,CAS758668,2020-07-31T15:21:27
MES599933,PER131757,PER977233,CAS884500,2017-06-19T08:28:27
MES673816,PER977233,PER410575,CAS308645,2023-04-06T07:25:27
MES701481,PER410575,PER338512,CAS313304,2020-12-04T15:05:27
MES539853,PER338512,PER521130,CAS156188,2021-05-10T19:42:27
MES454869,PER521130,PER892675,CAS546569,2026-02-08T13:09:27
MES523759,PER892675,PER642624,CAS829043,2020-08-01T07:04:27
MES226374,PER642624,PER194949,CAS382619,2021-03-11T02:54:27
MES332913,PER194949,PER773843,CAS369226,2018-01-26T11:03:27
MES964846,PER773843,PER131735,CAS420783,2019-05-13T15:37:27
MES967367,PER131735,PER905672,CAS768365,2019-09-02T05:46:27
MES228696,PER905672,PER869687,CAS508955,2021-10-03T00:36:27
MES494316,PER869687,PER412774,CAS237615,2021-11-23T19:24:27
MES528788,PER412774,PER257512,CAS388823,2023-11-01T15:11:27
MES532066,PER257512,PER435769,CAS348183,2017-07-04T14:37:27
MES686789,PER435769,PER698612,CAS809607,2018-04-14T12:28:27
MES901011,PER698612,PER524268,CAS282113,2018-10-11T13:42:27
MES565210,PER524268,PER554843,CAS693817,2024-10-12T13:12:27
MES203312,PER554843,PER116035,CAS318289,2021-06-17T22:51:27
MES920958,PER116035,PER889799,CAS363848,2023-03-15T01:04:27
MES784673,PER889799,PER690907,CAS850461,2023-05-29T03:27:27
MES953501,PER690907,PER506329,CAS825026,2021-05-24T13:37:27
MES243180,PER506329,PER943792,CAS604345,2023-10-12T01:40:27
MES112099,PER943792,PER150512,CAS662012,2025-11-06T05:46:27
MES468551,PER150512,PER484330,CAS463268,2024-08-26T12:49:27
MES212003,PER484330,PER612655,CAS517649,2024-06-07T03:14:27
