cdr_id,sender_person_id,receiver_person_id,case_id,message_datetime
CDR260620,PER900380,PER850660,CAS463268,2024-08-01T12:07:27
CDR271824,PER850660,PER106964,CAS517649,2024-04-11T13:09:27
CDR626502,PER106964,PER880101,CAS633641,2021-04-21T10:25:27
CDR501784,PER880101,PER934901,CAS138571,2024-08-19T15:45:27
CDR692474,PER934901,PER541081,CAS912482,2022-05-23T02:09:27
CDR367918,PER541081,PER377342,CAS220145,2017-01-17T04:10:27
CDR716995,PER377342,PER158533,CAS758668,2020-08-15T06:22:27
CDR456201,PER158533,PER446817,CAS884500,2017-05-07T19:29:27
CDR378207,PER446817,PER638027,CAS308645,2023-01-22T20:42:27
CDR877117,PER638027,PER721156,CAS313304,2020-11-01T10:01:27
CDR722994,PER721156,PER825260,CAS156188,2021-04-28T07:38:27
CDR161061,PER825260,PER494566,CAS546569,2026-03-02T00:33:27
CDR111003,PER494566,PER998416,CAS829043,2020-08-18T06:32:27
CDR614344,PER998416,PER261124,CAS382619,2021-01-15T13:05:27
CDR435556,PER261124,PER768066,CAS369226,2017-12-26T20:03:27
CDR312066,PER768066,PER624021,CAS420783,2019-03-30T03:11:27
CDR450106,PER624021,PER461455,CAS768365,2019-09-13T18:44:27
CDR193791,PER461455,PER450295,CAS508955,2021-10-04T18:08:27
CDR160185,PER450295,PER731351,CAS237615,2022-01-03T19:05:27
CDR855475,PER731351,PER210990,CAS388823,2023-08-25T21:31:27
CDR112798,PER210990,PER773308,CAS348183,2017-06-21T16:23:27
CDR382756,PER773308,PER137859,CAS809607,2018-01-27T08:10:27
CDR714055,PER137859,PER139134,CAS282113,2018-09-02T14:37:27
CDR260798,PER139134,PER192164,CAS693817,2024-11-10T09:42:27
CDR756873,PER192164,PER377088,CAS318289,2021-06-07T04:06:27
CDR993359,PER377088,PER133140,CAS363848,2023-04-02T21:34:27
CDR141812,PER133140,PER170689,CAS850461,2023-06-15T04:30:27
CDR636311,PER170689,PER949282,CAS825026,2021-04-11T17:13:27
CDR658156,PER949282,PER261756,CAS604345,2023-11-21T13:44:27
CDR865465,PER261756,PER772073,CAS662012,2025-09-18T18:14:27
CDR181085,PER772073,PER699978,CAS463268,2024-11-05T02:14:27
CDR168454,PER699978,PER445593,CAS517649,2024-06-29T18:44:27
CDR878168,PER445593,PER252828,CAS633641,2021-04-15T18:51:27
CDR994603,PER252828,PER163496,CAS138571,2024-06-30T08:21:27
CDR172211,PER163496,PER122770,CAS912482,2022-03-12T21:33:27
CDR934821,PER122770,PER344015,CAS220145,2017-02-04T22:50:27
CDR489247,PER344015,PER131757,CAS758668,2020-06-29T06:46:27
CDR403610,PER131757,PER977233,CAS884500,2017-05-31T21:00:27
CDR514248,PER977233,PER410575,CAS308645,2023-02-12T19:01:27
CDR744624,PER410575,PER338512,CAS313304,2020-11-10T20:18:27
CDR135888,PER338512,PER521130,CAS156188,2021-06-03T12:37:27
CDR104434,PER521130,PER892675,CAS546569,2026-03-12T16:08:27
CDR963478,PER892675,PER642624,CAS829043,2020-10-27T02:43:27
CDR188928,PER642624,PER194949,CAS382619,2021-04-17T09:38:27
CDR878335,PER194949,PER773843,CAS369226,2017-12-29T07:12:27
CDR855915,PER773843,PER131735,CAS420783,2019-03-17T18:41:27
CDR969663,PER131735,PER905672,CAS768365,2019-07-11T21:13:27
CDR100729,PER905672,PER869687,CAS508955,2021-10-15T12:48:27
CDR691053,PER869687,PER412774,CAS237615,2021-12-12T18:57:27
CDR976911,PER412774,PER257512,CAS388823,2023-09-12T18:56:27
CDR564783,PER257512,PER435769,CAS348183,2017-05-24T16:47:27
CDR486004,PER435769,PER698612,CAS809607,2018-04-22T11:19:27
CDR827020,PER698612,PER524268,CAS282113,2018-11-19T13:17:27
CDR731956,PER524268,PER554843,CAS693817,2024-10-25T08:08:27
CDR660728,PER554843,PER116035,CAS318289,2021-05-30T00:46:27
CDR233007,PER116035,PER889799,CAS363848,2023-03-24T06:49:27
CDR776385,PER889799,PER690907,CAS850461,2023-05-12T10:09:27
CDR473432,PER690907,PER506329,CAS825026,2021-05-23T15:35:27
CDR792449,PER506329,PER943792,CAS604345,2023-12-04T14:25:27
CDR899803,PER943792,PER150512,CAS662012,2025-10-15T06:17:27
CDR672686,PER150512,PER484330,CAS463268,2024-11-12T17:35:27
CDR218226,PER484330,PER612655,CAS517649,2024-04-21T12:58:27
